source,reference,hypothesis
ඒක ටිකක් සැර වැඩි.,She's a little spicy.,It's a little too much.
මං දැන් යන්න ඕනේ.,I gotta go.,I have to go now.
"හොදයි, ඔයා ගැන මොකද?","Well, what about you?","Well, what about you?"
"නොරී, මේක සංකීර්ණ ප්‍රශ්නයක්.","Norrie, it's complicated.","Nori, this is a complicated question."
මේකෙ බ්ලේඩ් එක බ්ලොක් කරනව.,He's blocking my blade.,This is blocking the blade.
"අපොයි, ඔවුන් හොඳයි.","Oh, they're good. Real good.","Oh, they're good."
ඔයාට පුළුවන් ඔයාගෙ උපකරණය ක්‍රියාත්මක කරන්න එතකොට අපට අයෙත් පැනගන්න පුළුවන්.,You can turn your gadget on and we can run away again.,You can activate your device so we can escape again.
लाइन इन्डेन्ट,Line Indent,Line Indent
"පීසා විතරක් නෙමෙයි, රත්තරං.","It's not just pizza, sweetheart.","Not just pizza, honey."
ඊට කලින් ඇදපු කිසිම සිතුවමක හෝ.,Or any painting from back then.,Not in any of the previous paintings.
- මැක්සිකෝවෙදි උනා වගේ ?,Since... New Mexico?,- Like in Mexico?
[දුරකථනය නාද වෙයි],[PHONE RINGS],[phone rings]
"නීති වෙනස් කරන්න හදන්න එපා, රේ.","Don't change the rules now, Ray.","Don't try to change the rules, Ray."
මොකද ඔයා හරියට 40 ක් වගේද?,"Age is just a number, baby. What are you, like, 40 now?",Because you look like 40?
पढ्नका लागि '%s' खोल्न सकेन: %s,Could not open '%s' for reading:,Could not open '%s' to read: %s
"පාලක මැදිරිය, මේ 101 දුම්රිය, ඩේජාන් විනාශයි. එම නිසා අපි නැවත පිටත් වුනා.","Control, 101 could not dock at Daejeon due to outbreak.","Control room, this 101 train, Daejeon is destroyed, so we left again."
म्यानुअल चयन,Manual Selection,Manual Selection
"නැහැ නැහැ, ඔයාම ගන්න ගැහැණු අයට පළමු තැනනේ කොහොමත්..",Do not take yourself first female to be created anyway ..,"No, no, you're the first woman to get yourself anyway."
नक्सामा लेबुल गरिएको शक्तिहीन ग्रहिकाको गुरुत्व,magnitude of faintest asteroid labeled on map,Gravity of a powerless galaxy labeled on a map
මම ඔයාව දන්න කාලෙ ඉඳන්ම ඔයා විශ්වාස කරන්න බැරි කෙනෙක්.,You have been a snake in the grass since I've known you.,You've been incredible ever since I met you.
එයාව නොසලකා හරින්න එපා.,Don't discount her.,Don't ignore him.
ඔයාවම පොළොඹවගෙන.,You're motivated.,You've been luring yourself.
"දක්ශකම බලන්න චිලී වල සිවිල් යුද්දයෙ මායිමේ,",Experts see Chile at the verge of a civil war.,"See the genius on the brink of civil war in Chile,"
सि मङ्की मेल,SeaMonkey Mail,SimMonkey Mail
यिनचुवानvietnam. kgm,Ninh Thuan,Yinchuan Vietnam
යුදෙවුවො විතරද?,J ust Jews?,Only Jews?
මම දකින්න ආසාවෙන් ඉන්නේ,I can't wait to see it.,I can't wait to see.
දැන් එතකොට රයිලිද මූලිකයා?,On a first name basis with Dr. Railly now?,Now Riley's the boss?
ඒ පදයේ අර්ථය මා ගාව තිබෙනවා,I have a definition of the term.,I have the meaning of that verse.
लिड २ - स टुथ,Lead 2 - Saw Tooth,Lead 2 - Tooth
"දැන් මං මොළකාරයො කණ්ඩායමක් මෙහෙයවනවා, අපිට විතරක් විසඳන්න පුළුවන්, ලෝකයට සිදුවන තර්ජන ගැන සොයමින්,","Now I run a team of geniuses, tackling worldwide threats only we can solve.","Now I'm leading a team of intellectuals, we're the only ones who can solve, looking for threats to the world,"
ඔබේ දෙමාපියන් එකිනෙකා කියලා?,Your parents know each other?,That your parents were each other?
ඔයා මේ ජරාව සල්ලි වලට ගන්න නෙමෙයි නේද හදන්නේ පැටියෝ?,"YOU'RE NOT BUYING THIS CRAP, ARE YOU, BABY?","You're not buying this shit for money, are you, baby?"
එහෙනම් ඇයි එයා මට මෙහාට එන්න පාර පෙන්නුවෙ?,Why did she guide me here then?,Then why did he show me the way here?
උඹ එයාවද බඳින්නේ?,So are marrying her?,Are you marrying him?
මට සමාවෙන්න,Forgive me!,I'm sorry.
ඒ මොකක් වුනත් අපි ඒ මොකද්ද කියලා බලන්න ඕනෙ,"Whatever it is, we better stay clear of it.","Whatever it is, we need to see what it is."
මට මගේ අතේ නාසි එකක් ගහගන්න ඕන.,I want some Nazi shit on my arm.,I want to hit a Nazi in my hand.
දිල්ලියේ නිවෙස් වල තියෙන හැම සාදයකම වගේ තැරැව්කාරයා.,The kingpin of every in-house party in Delhi.,The broker at every party in Delhi.
අපේ යැදුම් වලට පිළිතුරු දෙනවා.,It answers our prayers.,Responding to our calls.
ඔයයි ඔයාගේ ලේලියි යන්න ඕනේ.,You and your niece should leave.,You and your daughter should go.
"R2, චාන්සලර්ව හොයාගන්න.","R2, locate the chancellor.","R2, find the chancellor."
"ඔහ්, නියමයි.","Oh, yeah.","Oh, great."
සමාවෙන්න ඒ ගැන.,Sorry about that.,Sorry about that.
ඒ වගේම ඒක අශික්ෂිතයි වගේම එපාවෙනව.,And it's gross and unappealing.,And it's unpredictable and fleeting.
මට එයාගෙ මොළේ මැරිලද කියල දැනගන්නයි විශේෂඥයෙක් ඕනවුණේ.,I needed a specialist. Nic diagnosed brain death.,I needed a specialist to find out if his brain was dead.
"අපට සුලු කරුනාවක් දක්වන්න, ගැහැනු රනකාමියා.","Please have mercy on us, lady warrior.","Show us a little mercy, lady warrior."
මගේ සිහිනය තමයි පරණ සිනමාහල නැවත ස්ථාපිත කරන එක∙,My dream was to restore the old theater completely.,My dream is to restore the old theater.
මම ඔයාට ගෙනාවා...,I brought you something to...,I brought you...
"""मेरो खोजी"" दृश्यमा हालको खोजी बचत गर्न प्रयोग गरिने नाम प्रविष्ट गर्नुहोस्","Enter the name of the current similar image search to save in the ""My Fuzzy Searches"" view.","Enter the name used to save the current search in the ""My Search"" view"
ඔක නවත්තනවා,Knock it off! Keep her level!,Stop that.
बिग ट्राउट लेक,Big Trout Lake,Big Trout Lake
සංගලිය ඔයා ගන්න අනිත් එක ඔයා අරගෙන දාගන්න,You use that 20 sovereign chain,You take the string and you take the other one.
अति धेरै सत्रहरू,Too many sessions,Too many sessions
වෛද්‍යවරයෙක් අවශ්‍ය නැහැ.,No medic needed.,No need for a doctor.
නිව්යෝක් වල නැගෙනහිර පැත්තෙ ඉඳන්.,From the east side of New York.,From the east side of New York.
"- හෙට කටඋත්තරයක් දෙන්න කියන්න, හරිද? - හරි.","- and make a statement tomorrow, okay?","- Tell me to answer tomorrow, okay?"
යනවා යන්න මෙහෙන!,Get out of here!,Get out of here!
"ෂ්නයිඩර් සීයා කෙනෙකේ නම්, ලස්සන,සුහදශීලී බව.ඔයා දන්නවා. එයා ඔයාව අයිස් ක්‍රීම් එකක් වගේ වඩා ගනියි, සමහරවිට ඔයාව කියවයි.","Nice and half a bowl, maybe take you for ice cream, maybe he will read to you, grandpa Palmer does not do any of that.","If Schneider's a grandfather, he's handsome, kind, you know, he'll treat you like ice cream, maybe he'll read you."
कुनै सङ्केत उपलब्ध छैन,-no hint available-,No code available
म्यानुअल फिड (ट्रे १),Manual Feed (Tray 1),Manual feed (tray 1)
මුකය උඩ සිපගන්න.,Kiss it on the mouth.,Kiss the mouth.
"නයිජල්, අයින්වෙනවකො.",Nigel! Get out of the way!,"Nigel, come on."
අපි යමුකෝ.,We now.,Let's go.
කවුරුත් ඒ තදට අදින කලිසම් අදින්නේ නෑ මම විතරයි.,No! Nobody wears those tights but me.,No one wears those tight pants except me.
ඉක්මන් කරන්න!,Come on !,Hurry up!
माथि प्रविष्ट गरिएका मितिका अपवाद सूचीमा हाल हाइलाइट गरिएका वस्तु बदल्नुहोस्,Replace the currently highlighted item in the exceptions list with the date entered above,Replace the currently highlighted object in the list of the date exceptions entered above
ඔහු මගේ සල්ලි පරාද කලා ඔයා ලෙඩක් දාන්න ආවා.,He made me lose money and you come looking for trouble.,He wasted my money and you came to hurt me.
टिक चौडाइ:,Tic width:,Tic Width:
"""කවුරුහරි අපේ කෙනෙක් මරණ කොට, අපි එයාලගේ දෙන්නෙක් මරණ එක?""","""Someone kills one of ours, we kill two of theirs?""","""If someone kills one of us, we kill two of them?"""
උඩ තට්ටුවේ අන්තිම කාමරය,I get paid in advance.,Last room upstairs.
ලමයින්ට කියනවා ඔයාගේ පරීක්ෂණ ගැන ආඩ්ම්බරෙන්..,He tells the children about your research very proudly!,Tell the kids about your tests.
ඔයාලා ලක්ෂපතියෝ උනාද?,Are you guys some kind of millionaires or something?,Did you become millionaires?
बर्ग मुल[s],Start Group [(],Berg Mull[s]
ඔයා වැඩිහිටියෙක් වගේ හැසිරෙන්න ඕනේ දැන්.,You got to be the man now.,You're supposed to act like an adult now.
"පැටවුන් වැඩෙන තෙක්ම, වැඩිහිටියන් මාරුවෙන් මාරුවට පැටවුන් හට ආරක්ෂාව සැලසිය යුතුයි",Parents take turns at guarding them until they're large enough to be left alone.,"As long as the pups are growing, the adults must provide protection for the pups."
මෙම විකල්පය තෝරාගැනීම් ක්ලිප් පුවරු ඉතිහාසයේ වාර්ථාගත වීම වලකාලයි නිශ්චිත ක්ලිප් පුවරු වෙනස් කම් පමණක් වාර්ථා වේ.,This option prevents the selection being recorded in the clipboard history. Only explicit clipboard changes are recorded.,This option prevents recording of selection clipboard history and only records specific clipboard changes.
माक्रोसफ्ट WMF फाइल,Microsoft WMF file,Microsoft WMF File
विशिष्ट पङ्क्तिबाट स्तम्भ क्रमबद्ध गर्नुहोस्,Sort columns by the specified rows,Sort columns from specific rows
ඕයි අපි දිල්ලි මිනිස්සු.,Oi! We're Delhiites.,"Oh, we are the people of Delhi."
पढिएका सन्देशलाई चिनो लगाउनुहोस्,Chat & With...,Mark the message read
කුෂී කියන ඵකේ තේරැම සතුට කියන ඵක අනිත්අයට සතුට දෙන්නා කදුලු වලට බැහැ ඔහුගේ ඇස්වලට හොද පෙනුමක් දෙන්න,"Whose name is khushi(happiness) Who gave happiness to others, tears don't looks good in her eyes,","The meaning of the word ""Kushi"" is ""happiness"" while the other is ""happiness"" the tears can't make his eyes look good."
"ඔහ්, එහෙමද.","Oh, yeah.","Oh, yes."
ඔහු මගේ යාලුවෙක් නෙවෙයි .,He's no pal of mine.,He's not my friend.
කොහොමද අපි රෑ කෑමකින් පටන් ගත්තොත්?,How about we start with dinner?,How about we start with dinner?
මම ඇමරිකානුවෙක්.,I' m American.,I'm an American.
මේක හුරුබුහුටි නෑනෙ.,This place isn't chic.,This isn't cute.
बाक्लो पाठलाई अनुमति दिने या नदिने,Whether to allow bold text,Whether to allow thick text
"හදෙිය , ඔහු මට හිරිහැර කරනවා∙","Nurse, he's harassing me. Haven't I been through enough?","Come on, he's hurting me."
"එයාල එයාලගෙ ගෙදර යනව, මම යනව මගේ ගෙදර..","They go to their homes, i go to mine..","They're going home, I'm going home."
"නෑ, තාත්තේ, ඔයයි මුහුදට බය.","OK, I was right. You'll start school in a year or two. No, Dad!","No, Dad, you're afraid of the sea."
මාව ගිනිතියන්න උත්සහ කරන්න එපා...,Don't try to set me on fire..,Don't try to burn me...
එයා ඇත්තටම හිතන දේ නෙවෙයි ඔය.,-Ohh! He really doesn't mean it.,That's not what he really thinks.
සමහරවිට මට මට ඔයාව ලබා ගන්න බැරිවෙන්න තිබ්බා.,I can't have you.,Maybe I shouldn't have gotten you.
श्रृङ्खला पुन: नामकरण गर्नुहोस्,Rename Series,Rename the series
කරන්නම් ඒත් මම එහෙම හිතන්නේ නෑ,"Will do, but I'm not concerned.","I will, but I don't think so."
කව්ද ඔයාට එහෙම කිව්වේ?,Who told you that?,Who told you that?
"දුන්නා නෙමෙයි, ඔහේ එයාලව මෝඩයෝ කලා.","You haven't given them anything, you have fooled them.","Don't give up, you've fooled them."
ඔයා වගේ කෙනෙක් මෙහෙම කරනවා මං දැක්කමයි,I haven't ever seen a hero like you to avenge like this,I've seen someone like you do this.
"""Balthazar!"" ""Crayne"" මහත්මයා!",Balthazar! Mr. Crayne!,"""Balthazar!"" ""Mr. Crayne!"""
- මේ මොනාද?,What's all this?,- What is this?
"නෑ, ඔයා එහෙම නෑ.","No, you're not.","No, you're not."
මම දැන් යන්න ඕන.,I gotta get going.,I have to go now.
එයා මෙතන ලෙව කෑවා,He licked me right here.,He ate blood here.
ඒ වාහනේ නම තමයි...,The name of the car is ...,The name of that car is...
රෝහල් දුරකථනයෙන් කතා කරනවා.,Telephone the hospital.,The hospital is on the phone.
"ඇත්තටම, ග්‍රේටල්, එයා එහේ යැවුවෙ... . ...එයා එයාගෙ තාත්ත ගැන...","I n actual fact, Gretel, he was sent there... because he failed to inform the authorities... of his father's lack of loyalty to the Party.","Actually, Gretel, he sent him over there to talk about his father."
ටිකක් ඉන්න.,Wait for a while.,Wait a minute.
pty मा माउन्ट प्रक्रिया चालु गर्न सकेन,Couldn't run mount process in a pty,Could not run mount process in pty
- නෑ. මට වාතය දැනෙන්න ඕනා.,I need to feel the air.,I need to feel the air.
ඔයා කියන් නැත්නම් මම කියන් නම්,"If you don't, then I will.",If you don't tell me
"यदि तपाईँले फिड र फाइलहरू मेट्न छनौट गर्नु भएमा, ति सदाका लागि हराउने छन्। कृपया याद राख्नुहोस् कि तपाईँले फिड मात्र मेट्नुहोस् छनौट गरेर डाउनलोड गरिएको फाइलहरू राख्दै फीडहरू मात्र मेट्न सक्नुहुन्छ।","If you choose to delete the feed and files, they will be permanently lost. Please note that you can delete the feed but keep the downloaded files by choosing to delete the feed only.","If you choose to delete feeds and files, they will be lost forever. Please note that you can only delete feeds by choosing to delete only feeds and keeping downloaded files."
මොනවහරි මතක් වෙනවද?,Ring any bells?,Do you remember anything?
"ඒ වගේම එක කලහම , අපිව තවදුරටත් ඕනා වෙන්නේ නැ","And when they do, they ain't gonna need us no more.","And once we do, we won't be needed anymore."
ඔයාලා මොකටද ඔලුව වනන්නේ?,What are you nodding for?,Why are you shaking your head?
මොකද්ද අවුල ?,What happened?,What's wrong?
ඩීන් ඇන්තනී බේකර් මහත්තයා,Mister Dean Anthony Baker. So I suggest you leave the boy alone.,Dean Anthony Baker.
මොකද හිනාවෙන්නේ?,What's so funny?,Why are you smiling?
ඇන්ඩේ‍ර්ප් අන්තිමයා,Andropov was the last one.,Andrei is the last.
මොකද පුතේ..,"What is it, baby?",Why son..
- සමාවෙන්න සර්. - කරුණාකරලා.,"- Sorry, sir.","- Excuse me, sir."
"මම දන්නා එකම දේ තමයි, ඔයා පැය 16 කරන, නිදාගන්න එක.",The only thing I've ever seen you do 16 hours a day straight is sleep.,"All I know is, you do 16 hours of sleep."
මගේ වාර්තාව හේතු වෙවි තමුන් තවදුරත් ආරක්ෂක සේවයේ තියෙනවද නැද්ද කියන එක .,My report will be a major factor in whether you remain in the force.,My report will determine if you're still in the security service or not.
ඔයාගෙ පෙලිස් නිළධාරියට කියන්න අවුරුදු 30 විතර මනුස්සයෙක් හොයන්න කියල.,Tell your policeman to look for a guy around 30.,Tell your police officer to find a man in his 30s.
AWVR 777 නමින් හඳුන්වන එය.,"The train, AWVR 777,",It's called AWVR 777.
रुखको बोक्रा,Tree Bark,Tree Bockra
ආත්ම වෘක්ෂය ලඟ ඒක බලසම්පන්නයි නේද?,"It's strongest at the Tree of Souls, right?","It's powerful near the soul tree, isn't it?"
"ඉක්මනට ඒ කෙල්ලව පැහැරගෙන එන්න. අපි යමු. මොනවද ඔයාල කරන්නෙ ? එහෙම නං, මේ තමයි අද වෙන්දේසියේ ප්‍රධාන භාණ්ඩය.",Kidnap this girl immediately. [ Cheering ] [ Cheering Continues ],"What are you doing? Then, this is the main item at the auction today."
प्रणाली ट्रे प्रतिमा प्रदर्शन गर्नुहोस्,Display system tray icon,Display System Tray Icons
- මම කැල්'ගේ තාත්තා.,I am Kal's father.,- I'm Cal's father.
"එන්ජින් දෙකම අහිමි වීම, උස මට්ටම.","The dual engine loss, the altitude.","Loss of both engines, high level."
एल्बम वस्तु माथि माउस हुँदा छवि सूचना प्रर्दशन गर्न यो विकल्प सेट गर्नुहोस् ।,Set this option to display album information when the mouse hovers over a folder-view item.,Set this option to display image information when the album object is mounted above.
- එකයි ?,- Well how low?,- One?
මම දැන් තිරණය කරා එයාට love letter එකක් දෙන්න.,I've now decided to give her a love letter.,I just decided to give her a love letter.
ला केइवा,La Chica,La Kewa
"ඇති, ඇති, ස්ස්, නවත්වපන් දැන්.. සමාවෙයන් මට!",enough..enough.sshhh..quiet..quiet forgive me..!,"Stop, stop, stop, stop, stop, stop!"
අපි ළගයි මේ මිනිස්සුන්ව අල්ල ගන්න අපිට මොකක් හරි අමාරු දෙයක් වෙනකම් අපි උන් පස්සෙමයි,"We're hot on these guys' trail, and it's just a matter of time till we nail them.","We're about to catch these people until something hard happens to us, and we're gonna be right behind them."
මගේ ලේකම්වරිය ඔබලාව එතනට එක්කගෙන යයි.,My secretary will be happy to take you down there right now.,My secretary will take you there.
හිනාවෙන්න. -මොනවාද ඔයා කරන්නේ?,- What're you doing?,- What are you doing?
කොයි එකද?,Which one is it?,Which one?
මෙයාට ගෞරව කරලා කතා කරන්න.,Show some respect.,Honor him and talk to him.
ඔයා එයත් එක්ක නිදා ගත්තද?,Did you fuck her?,Did you sleep with him?
ඔය මහන කඩේට කියපන් උඹ වගේ උන්ට හරියන ඇඳුමක් මහල දෙන්න කියලා,"Yes, just do as mommy says. Find yourself a tailor and think that chicken costume's gonna suit you, you mug.",Tell that tailor shop to find a suit for them like you.
ඇය හොදින්.,It's OK. She's good.,She's fine.
...ඔයාට විරුද්ධව උසාවියේදී පාවිච්චි කරන්න පුළුවන් ඒ වගේම කරනවා.,...can and will be used against you in a court of law.,...can and will be used against you in court.
මේ නම් සිරා මිනිහෙක්,"What it is, man! Dynomite.",This is a serious man.
प्रतीक घोषणामा जानुहोस्,Go to symbol declaration,Go to Symbol Declaration
सत्र% 1 द्वारा ताल्चा लगाइएको थियो,The session was locked by %1,session was locked by %1
प्लगइन '%s' लोड गर्न सकेन %s,Could not load plugin '%s' %s,Could not load plugin '%s' %s
- ඒ එම්බ්‍රිද?,- That's Embry?,- Is that Embry?
भूमिका ए को परिवर्तनशीलता,Role A Changeability,Variability of Role A
"මට කිරි ඕනේ නෑ, ගිහින් නිදා ගන්න මොකද?",I don't want any milk. Go back to bed. Easwari!,"I don't want milk, why go to sleep?"
उमेर अनुसार क्रमबद्ध गर्नुहोस् (_g),Sort by A_ge,Sort by age (_g)
ඔයා එකඟතාව අත්සන් කරලනම් හිටියේ ඔයාට බැරිවෙනවා ඔහොම... .,If you would just sign the contract you wouldn't have...,"If you had signed the agreement, you wouldn't be able to..."
එයා දැනටම ගිහින්.,He's already gone.,He's already gone.
"සැලි,මගේ තාක්ෂනිකයා මේ බිම තුල ආරක්ෂාව ගැන අවධානය යොමු කරනවා.","Sally, my Tech is concerned about the security of the site.","Sally, my tech is focusing on security on this ground."
आदेश रेखामा कार्यान्वयन गर्न दुवै एउटा अभिव्यक्ति र फाइलहरूलाई निर्दिष्ट गर्न सक्दैन,Can't specify both an expression and files to execute on the command line,Cannot specify both an expression and files to execute on the command line
තාමත් හරිම ආදරෙන්.,But they are still very much in love.,Still very fond.
[फाइल स्थापक],[File Installer],[File Installer]
ඉතින් මට ඒක අදාල නෑ,that's sort of the point.,So I don't care.
"මාකස්, ඔහු තමයි පළවෙනියා","Markus, he's the one","Marcus, he's the first."
फ्लपी ढाँचाकर्ताName,Floppy Formatter,Floppy Format
"ඒ 80 මැද භාගයේදී පන ආපු ටටෙඩි බෙයාර් සම්බන්ධවයි බොස්ටන් හි, ඔහු නියත වශයෙන්ම පුද්ගලයෙක් බව ඔප්පු කිරීමට සුදානම් වෙමින් සිටි","Ted, the bear, who some of you may remember came to life back in the mid-'80s right here in Boston, is suing to prove he is indeed a person.","It's about Teddy Bear, who came to life in the mid-'80s in Boston, and was preparing to prove himself."
उल्टाउन चाप चयन गर्नुहोस्...,Select the arc to invert...,Select reverse arc...
ඔහු මාව ඇඳට තියලා බැන්දා.,He chained me to the bed.,He put me to bed.
ඔයා හොදින්ද? ආ?,You okay there?,Are you okay?
- ඔයාගේ උපරිමේ කුණුගොඩක් තමයි.,- Your best is garbage.,- Your best piece of garbage.
එයා දැන් තොරතුරු එව්වා.,She just sent us the uplink.,He just sent information.
අපට තව එකකි අවැසි වන්නේ.,We've got three We need one,We need another one.
ඒවා මම වෙනස් කරන්න ඕනා මතකයන්.,They're memories that I have to change,Those are memories I need to change.
ඒත් මම හොඳින්. මම හොඳින්.,But I'm okay. I'm all right.,But I'm fine.
උඹලා මොනාද කියන්නේ බං?,What are you saying?,What are you guys talking about?
टायल गरिएको छवि,Tiled Image,Tilted image
ඔයගොල්ලො කවුද?,Who the hell are you?,Who are you?
ඒත් පස්සේ දැනගන්න ලැබුනා එයා මැරිලා කියලා.,But then she turned up dead.,But then I found out he was dead.
"ඒයි කෙල්ලෙ, ඔයාගෙ අනතුරු සංඥාව තාරු්‍යයෙ සුන්දරත්වය..","Hey girl, you're a danger signal of beauty and youth...","Hey girl, your warning signal is the beauty of the stars.."
ඇය දැඩි කෙනෙක්.,She's tough.,She's tough.
මම ඔයාගේ යාලුවෙක්නේ...,I'm your friend.,I'm your friend...
අයියෝ උඹ දන්නවනෙ ඌ මැරිලා කියලා,"Oh, come on what know what you is dead. heya","Come on, you know he's dead."
"මං කවදාවත් ඔයාගෙන් ඇහුවේ නැත්තේ අපි එකට් වැඩ කරන නිසා, මං හිතන්නේ මට බයත් හිතුනා ඒත් මං බයෙන් හිටියා ඇති","I never asked you out because we work together, but I think part of me was scared and I'm done being scared.","I never asked you because we work together, so I guess I was scared, but I was scared."
හොඳ ජෝඩුව.,"Oh, yeah, yeah, yeah.",Good pair.
කට වහනවලා!,Shut up!,Shut up!
ඇයි ඔයාට ඔච්චර තරහ ගිහින්?,What are you so weirded out about?,Why are you so angry?
මම ජිවිතකාලයටම රිදවන්න කියලා හිතපු අන්තිම කෙනා ඔයයි.,You're the last person I ever meant to hurt.,You're the last person I ever thought I'd hurt for life.
(हल्लिएको) मोनोक्रममा घटाउनुहोस्,Reduce to Monochrome (Dithered),Subtract to (contact) monogram
"මේ කණනාඩිය ගාව ඉන්න හාදයා, එයා ජේම්ස් හොලොවේ.","This brother in the mirror over here, his name's James Holloway.","The guy with the bell, he's James Holloway."
ඔව්න් මේහේ.,They're here.,"Yes, they're here."
මන් වෙනුවෙන් කරපු දේවල් වලට මම කොහොම ස්තුතියි කරන්නද මන්දා!,How can I ever thank you for what you did for me?,I don't know how to thank you for what you've done for me!
"ඒත්, ඒක ඇත්තටම වුණා වගේ දැනෙනවා.",But it felt like it had happened.,"But, it feels like it actually happened."
पर्ल वाक्य संरचनामा नियमित अभिव्यक्ति,A regular expression in Perl syntax,Regular expression in Perl sentence structure
අපි පහල හිටියොත් අපි ගිලෙනවා.,Down here we will drown.,"If we stay down, we'll drown."
"""%s"" फेला पार्न सकेन।","""%s"" could not be found.","Could not find ""%s""."
दृश्य प्रोफाइल बचत गर्नुहोस्...,& Save View Profile As...,Save View Profile...
ट्लेम्केन जेनाटा,Tlemcen Zenata,Tlemcen Jennetta
ඒක ගැන විස්වාශද?,- Is he gonna do it?,Are you sure about that?
"යන්න ,යන්න",Go! Go!,"Go, go."
"බේරගන්න, උදව් කරන්න","Save me, help","Rescue, help."
"එහෙනම්, රොත්තක් නෙ?","So, a lot then?","So, a rat?"
चयन गरिएका कार्यका लागि टाइमिङ सुरु गर्नुहोस्,Stop timer for task,Start timing for selected actions
අපි ඔයාලට අපේ මොසසෝරස්ව තව ටිකක් ළං කරල පෙන්නන්න හදන්නේ,We're gonna give you an even closer look at our Mosasaurus.,We're just trying to get you closer to our Moosaurus.
මට දැන් ඉන්නව හොදට ලොකු උන පුතෙක් .,And now I have grown old my son.,I have a grown son now.
උඹ මංගැන දත්ත දුන්න?,You give data about me? !,You gave me the data?
"වෙන්න බෑ, ඒක ස්ථිරයි.","It's not possible, it's certain.","It's not possible, it's permanent."
වෙඩි තියන්න පෙට්‍රා!,Fire Petra!,Shoot Petra!
උඹත් බලපන් බන්?,Why don't yöu look up?,"Look at you, too."
टर्मिनल अनुप्रयोगComment,Educational applications,Terminal Application
කොහොමද අද ඔයාලගෙ ඉගෙනීම් වැඩ එහෙම?,And how did your studies go today?,How's your study today?
එයා කොහාටද යනවා කියලත්.,And she's on the move.,And where he's going.
"සන්සුන් වෙන්න, එයා ඔයා ගැන මොනවත් ඇයට කියන එකක් නැහැ .එයා දැන් ගිහින්.","Relax, it's not like he's gonna say anything about you.","Don't worry, she won't tell her anything about you. She's gone now."
"සැලසුම් දැනටමත් ක්‍රියාත්මකයි රටේ අගනුවර ඔමාහාවලට ගෙනියන්න, ප්‍රභූ ධනකුවේරයන්ගේ නිලධාරීන් මිලදී ගනිමින් ඉන්නෙ හැදෙන්ඩ-යන වෙරළාසන්න ඉඩකඩම්","Plans are afoot to move the nation's capital to Omaha, and a cadre of elite billionaires is buying up soon-to-be beachfront property.","Plans are already underway to move the nation's capital to Omaha, where officials from the elite are buying up land along the coast."
මේ මොකක්ද ?,What do you call this then.,What is this?
කතා කරන්නද ?,Should I?,Want to talk?
ठेगाना पुस्तिकाको आईडी,Ids of Address Books,ID of address book
-ඒක ලස්සනයි∙,- It's beautiful.,- It's beautiful.
- නයේමි මට ඇහුම්කන් දෙන්න,"Naomi, listen to me.","- Naomi, listen to me."
ඔයා විහිළු කරන්නෙ නෑ.,You aren't kidding around.,You're not kidding.
අපි සතුව කිරි මනේසුදු එළදෙනක් හිටියා.,We had a cow as white as milk.,We had a milk cow.
%s फोल्डर बाकस प्राप्त गर्न सकिँदैन,Cannot add contact: %s,Cannot get the %s folder box
आदेश/ यूआरएल:,Command/ URL:,Command/ URL:
