source,reference,hypothesis
වැඩ මුලුවක් කරමින්. මම අද රෑ ආපසු යනවා,"I go back tonight,",Mă întorc în seara asta.
ඒක ටිකක් සැර වැඩි.,She's a little spicy.,Biraz daha fazla oldu.
මං දැන් යන්න ඕනේ.,I gotta go.,Trebuie să plec acum.
"හොදයි, ඔයා ගැන මොකද?","Well, what about you?","Bueno, ¿qué pasa contigo?"
"නොරී, මේක සංකීර්ණ ප්‍රශ්නයක්.","Norrie, it's complicated.","Нори, това е сложен въпрос."
මේකෙ බ්ලේඩ් එක බ්ලොක් කරනව.,He's blocking my blade.,Това блокира бледа.
"අපොයි, ඔවුන් හොඳයි.","Oh, they're good. Real good.","Ei bine, sunt buni."
ඔයාට පුළුවන් ඔයාගෙ උපකරණය ක්‍රියාත්මක කරන්න එතකොට අපට අයෙත් පැනගන්න පුළුවන්.,You can turn your gadget on and we can run away again.,"Możesz uruchomić swoje urządzenie, żebyśmy mogli znowu uciec."
लाइन इन्डेन्ट,Line Indent,लाइन इंडेंट
"පීසා විතරක් නෙමෙයි, රත්තරං.","It's not just pizza, sweetheart.","Sadece pizza değil, tatlım."
ඊට කලින් ඇදපු කිසිම සිතුවමක හෝ.,Or any painting from back then.,Nici o imagine pe care n-am avut-o înainte.
- මැක්සිකෝවෙදි උනා වගේ ?,Since... New Mexico?,- De parcă ai fi în Mexic ?
[දුරකථනය නාද වෙයි],[PHONE RINGS],[Телефонът звъни]
"නීති වෙනස් කරන්න හදන්න එපා, රේ.","Don't change the rules now, Ray.","Nu încerca să schimbi regulile, Ray."
මොකද ඔයා හරියට 40 ක් වගේද?,"Age is just a number, baby. What are you, like, 40 now?",De ce arăţi ca 40 de ani?
पढ्नका लागि '%s' खोल्न सकेन: %s,Could not open '%s' for reading:,पढ़ने के लिए '%s' खोलने में असमर्थः %s
"පාලක මැදිරිය, මේ 101 දුම්රිය, ඩේජාන් විනාශයි. එම නිසා අපි නැවත පිටත් වුනා.","Control, 101 could not dock at Daejeon due to outbreak.","Kontrol Merkezi, bu 101 tren, Dejan yıkıldı, bu yüzden tekrar yola çıktık."
म्यानुअल चयन,Manual Selection,मैनुअल चयन
"නැහැ නැහැ, ඔයාම ගන්න ගැහැණු අයට පළමු තැනනේ කොහොමත්..",Do not take yourself first female to be created anyway ..,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
नक्सामा लेबुल गरिएको शक्तिहीन ग्रहिकाको गुरुत्व,magnitude of faintest asteroid labeled on map,मानचित्र लेबल किया गया शक्तिहीन ग्रहिका का गुरुत्व
මම ඔයාව දන්න කාලෙ ඉඳන්ම ඔයා විශ්වාස කරන්න බැරි කෙනෙක්.,You have been a snake in the grass since I've known you.,Seni tanıdığım zamandan beri güvenilmez birisin.
එයාව නොසලකා හරින්න එපා.,Don't discount her.,Μην τον παραμελείς.
ඔයාවම පොළොඹවගෙන.,You're motivated.,Te-am luat pe pământ.
"දක්ශකම බලන්න චිලී වල සිවිල් යුද්දයෙ මායිමේ,",Experts see Chile at the verge of a civil war.,"Δείτε την επιτυχία του Σιλινού εμφύλιου πολέμου,"
सि मङ्की मेल,SeaMonkey Mail,सि मङ्की मेल
यिनचुवानvietnam. kgm,Ninh Thuan,यिनचुवान वियतनाम. किलो
යුදෙවුවො විතරද?,J ust Jews?,Μόνο Εβραίοι;
මම දකින්න ආසාවෙන් ඉන්නේ,I can't wait to see it.,Je suis impatient de le voir.
දැන් එතකොට රයිලිද මූලිකයා?,On a first name basis with Dr. Railly now?,"Acum, iar Riley este principalul?"
ඒ පදයේ අර්ථය මා ගාව තිබෙනවා,I have a definition of the term.,Έχω το νόημα αυτής της λέξης.
लिड २ - स टुथ,Lead 2 - Saw Tooth,लिड २ - स टुथ
"දැන් මං මොළකාරයො කණ්ඩායමක් මෙහෙයවනවා, අපිට විතරක් විසඳන්න පුළුවන්, ලෝකයට සිදුවන තර්ජන ගැන සොයමින්,","Now I run a team of geniuses, tackling worldwide threats only we can solve.","Ahora dirijo un equipo de intelectuales que sólo podemos resolver, buscando las amenazas que ocurren en el mundo,"
ඔබේ දෙමාපියන් එකිනෙකා කියලා?,Your parents know each other?,Părinţii tăi s-au întâlnit?
ඔයා මේ ජරාව සල්ලි වලට ගන්න නෙමෙයි නේද හදන්නේ පැටියෝ?,"YOU'RE NOT BUYING THIS CRAP, ARE YOU, BABY?","Nu vrei să cumperi bani de rahat, nu-i aşa, băiete?"
එහෙනම් ඇයි එයා මට මෙහාට එන්න පාර පෙන්නුවෙ?,Why did she guide me here then?,Τότε γιατί μου έδειξε να έρθω εδώ;
උඹ එයාවද බඳින්නේ?,So are marrying her?,Θα τον παντρευτείς;
මට සමාවෙන්න,Forgive me!,Özür dilerim.
ඒ මොකක් වුනත් අපි ඒ මොකද්ද කියලා බලන්න ඕනෙ,"Whatever it is, we better stay clear of it.","Oricum ar fi , trebuie să vedem ce e ."
මට මගේ අතේ නාසි එකක් ගහගන්න ඕන.,I want some Nazi shit on my arm.,Vreau să-mi pun un nasist în mână.
දිල්ලියේ නිවෙස් වල තියෙන හැම සාදයකම වගේ තැරැව්කාරයා.,The kingpin of every in-house party in Delhi.,"Como todas las fiestas de las casas de Delhi, el corredor."
අපේ යැදුම් වලට පිළිතුරු දෙනවා.,It answers our prayers.,Răspunde la cererile noastre.
ඔයයි ඔයාගේ ලේලියි යන්න ඕනේ.,You and your niece should leave.,Η κόρη σου πρέπει να φύγει.
"R2, චාන්සලර්ව හොයාගන්න.","R2, locate the chancellor.","R2, najděte kancléře."
"ඔහ්, නියමයි.","Oh, yeah.","Ω, υπέροχα."
සමාවෙන්න ඒ ගැන.,Sorry about that.,Îmi pare rău pentru asta.
ඒ වගේම ඒක අශික්ෂිතයි වගේම එපාවෙනව.,And it's gross and unappealing.,Και είναι ακατάλληλο και ακατάλληλο.
මට එයාගෙ මොළේ මැරිලද කියල දැනගන්නයි විශේෂඥයෙක් ඕනවුණේ.,I needed a specialist. Nic diagnosed brain death.,Am nevoie de un specialist pentru a afla dacă creierul lui a murit.
"අපට සුලු කරුනාවක් දක්වන්න, ගැහැනු රනකාමියා.","Please have mercy on us, lady warrior.","Δείξε μας μια χάρη, Γυναίκες."
මගේ සිහිනය තමයි පරණ සිනමාහල නැවත ස්ථාපිත කරන එක∙,My dream was to restore the old theater completely.,Το όνειρό μου είναι να αποκαταστήσω το παλιό κινηματογράφο.
මම ඔයාට ගෙනාවා...,I brought you something to...,Ţi-am adus...
"""मेरो खोजी"" दृश्यमा हालको खोजी बचत गर्न प्रयोग गरिने नाम प्रविष्ट गर्नुहोस्","Enter the name of the current similar image search to save in the ""My Fuzzy Searches"" view.","""मेरी खोज"" दृश्य में हाल की खोज सहेजने के लिए प्रयोग किया जाने वाला नाम दर्ज करें"
ඔක නවත්තනවා,Knock it off! Keep her level!,Σταμάτα.
बिग ट्राउट लेक,Big Trout Lake,बिग ट्राउट झील
සංගලිය ඔයා ගන්න අනිත් එක ඔයා අරගෙන දාගන්න,You use that 20 sovereign chain,Birini al ve diğerini al .
अति धेरै सत्रहरू,Too many sessions,अति अनेक सत्र
වෛද්‍යවරයෙක් අවශ්‍ය නැහැ.,No medic needed.,Δεν χρειάζεται γιατρός.
නිව්යෝක් වල නැගෙනහිර පැත්තෙ ඉඳන්.,From the east side of New York.,Από την ανατολική πλευρά της Ν. Υόρκης.
"- හෙට කටඋත්තරයක් දෙන්න කියන්න, හරිද? - හරි.","- and make a statement tomorrow, okay?",- Δώσε μου μια απάντηση αύριο.
යනවා යන්න මෙහෙන!,Get out of here!,Φύγε από εδώ!
"ෂ්නයිඩර් සීයා කෙනෙකේ නම්, ලස්සන,සුහදශීලී බව.ඔයා දන්නවා. එයා ඔයාව අයිස් ක්‍රීම් එකක් වගේ වඩා ගනියි, සමහරවිට ඔයාව කියවයි.","Nice and half a bowl, maybe take you for ice cream, maybe he will read to you, grandpa Palmer does not do any of that.","Dacă bunicul lui Schneider este frumos, frumos. Te consideră mai mult ca o îngheţată, poate te citeşte."
कुनै सङ्केत उपलब्ध छैन,-no hint available-,कोई संकेत उपलब्ध नहीं है
म्यानुअल फिड (ट्रे १),Manual Feed (Tray 1),मैनुअल फीड (ट्रे १)
මුකය උඩ සිපගන්න.,Kiss it on the mouth.,Să-l sărutăm.
"නයිජල්, අයින්වෙනවකො.",Nigel! Get out of the way!,"Νάιτζελ, ελάτε."
අපි යමුකෝ.,We now.,Hadi gidelim.
කවුරුත් ඒ තදට අදින කලිසම් අදින්නේ නෑ මම විතරයි.,No! Nobody wears those tights but me.,"Nimeni nu poartă pantalonii ăia de culoare, doar eu."
ඉක්මන් කරන්න!,Come on !,Çabuk ol!
माथि प्रविष्ट गरिएका मितिका अपवाद सूचीमा हाल हाइलाइट गरिएका वस्तु बदल्नुहोस्,Replace the currently highlighted item in the exceptions list with the date entered above,उपरोक्त प्रविष्ट किए गए मित्र अपवाद सूची में हाल ही में हाइलाइट किए गए आइटम बदलें
ඔහු මගේ සල්ලි පරාද කලා ඔයා ලෙඩක් දාන්න ආවා.,He made me lose money and you come looking for trouble.,Mi-a pierdut banii şi ai venit să mă îmbolnăveşti.
टिक चौडाइ:,Tic width:,टिक चौड़ाईः
"""කවුරුහරි අපේ කෙනෙක් මරණ කොට, අපි එයාලගේ දෙන්නෙක් මරණ එක?""","""Someone kills one of ours, we kill two of theirs?""","""Când cineva ucide unul dintre noi, noi ucidem doi dintre ei?"""
උඩ තට්ටුවේ අන්තිම කාමරය,I get paid in advance.,Ultima cameră de la etajul superior.
ලමයින්ට කියනවා ඔයාගේ පරීක්ෂණ ගැන ආඩ්ම්බරෙන්..,He tells the children about your research very proudly!,Spune-le copiilor despre testele tale.
ඔයාලා ලක්ෂපතියෝ උනාද?,Are you guys some kind of millionaires or something?,Milyoner mi oldunuz?
बर्ग मुल[s],Start Group [(],बर्ग मुल[s]
ඔයා වැඩිහිටියෙක් වගේ හැසිරෙන්න ඕනේ දැන්.,You got to be the man now.,Trebuie să te comporţi ca un adult acum.
"පැටවුන් වැඩෙන තෙක්ම, වැඩිහිටියන් මාරුවෙන් මාරුවට පැටවුන් හට ආරක්ෂාව සැලසිය යුතුයි",Parents take turns at guarding them until they're large enough to be left alone.,"Μέχρι να μεγαλώσει το κοριτσάκι, οι ενήλικες πρέπει να φροντίζουν για την προστασία του κοριτσιού."
මෙම විකල්පය තෝරාගැනීම් ක්ලිප් පුවරු ඉතිහාසයේ වාර්ථාගත වීම වලකාලයි නිශ්චිත ක්ලිප් පුවරු වෙනස් කම් පමණක් වාර්ථා වේ.,This option prevents the selection being recorded in the clipboard history. Only explicit clipboard changes are recorded.,इस विकल्प का चयन क्लिपबोर्ड इतिहास में रिकॉर्ड होने से पहले होता है जब तक विशिष्ट क्लिपबोर्ड अलग-अलग नहीं होते।
माक्रोसफ्ट WMF फाइल,Microsoft WMF file,माइक्रोसॉफ्ट WMF फ़ाइल
विशिष्ट पङ्क्तिबाट स्तम्भ क्रमबद्ध गर्नुहोस्,Sort columns by the specified rows,विशिष्ट पंक्ति से स्तंभ क्रमबद्ध करें
ඕයි අපි දිල්ලි මිනිස්සු.,Oi! We're Delhiites.,Noi suntem oamenii din Delhi.
पढिएका सन्देशलाई चिनो लगाउनुहोस्,Chat & With...,पढ़ी गई संदेशों को चिह्नित करें
කුෂී කියන ඵකේ තේරැම සතුට කියන ඵක අනිත්අයට සතුට දෙන්නා කදුලු වලට බැහැ ඔහුගේ ඇස්වලට හොද පෙනුමක් දෙන්න,"Whose name is khushi(happiness) Who gave happiness to others, tears don't looks good in her eyes,",कुशी का कहना है कि खुशी का मतलब है खुशी का मतलब है कि दूसरों को खुशी देने वाले आँसू नहीं आ सकते उनकी आंखों को अच्छा दिखने दें
"ඔහ්, එහෙමද.","Oh, yeah.","Oh, aşa e."
ඔහු මගේ යාලුවෙක් නෙවෙයි .,He's no pal of mine.,Δεν είναι φίλος μου .
කොහොමද අපි රෑ කෑමකින් පටන් ගත්තොත්?,How about we start with dinner?,¿Qué tal si empezamos con la cena?
මම ඇමරිකානුවෙක්.,I' m American.,Είμαι Αμερικανός.
මේක හුරුබුහුටි නෑනෙ.,This place isn't chic.,Δεν είναι πολύ όμορφο.
बाक्लो पाठलाई अनुमति दिने या नदिने,Whether to allow bold text,बाक्लो पाठ को अनुमति देना या नहीं देना
"හදෙිය , ඔහු මට හිරිහැර කරනවා∙","Nurse, he's harassing me. Haven't I been through enough?","Iubitule , el mă doare ..."
"එයාල එයාලගෙ ගෙදර යනව, මම යනව මගේ ගෙදර..","They go to their homes, i go to mine..","Ei se duc acasă, eu mă duc acasă."
"නෑ, තාත්තේ, ඔයයි මුහුදට බය.","OK, I was right. You'll start school in a year or two. No, Dad!","Όχι, μπαμπά, εσύ φοβάσαι τη θάλασσα."
මාව ගිනිතියන්න උත්සහ කරන්න එපා...,Don't try to set me on fire..,Μην προσπαθείς να με κάψεις...
එයා ඇත්තටම හිතන දේ නෙවෙයි ඔය.,-Ohh! He really doesn't mean it.,No es lo que realmente piensa.
සමහරවිට මට මට ඔයාව ලබා ගන්න බැරිවෙන්න තිබ්බා.,I can't have you.,Poate că n-aş fi putut să te iau.
श्रृङ्खला पुन: नामकरण गर्नुहोस्,Rename Series,श्रृङ्खला पुनः नामकरण करें
කරන්නම් ඒත් මම එහෙම හිතන්නේ නෑ,"Will do, but I'm not concerned.","Lo haré, pero no creo que lo haga."
කව්ද ඔයාට එහෙම කිව්වේ?,Who told you that?,Cine ţi-a spus asta?
"දුන්නා නෙමෙයි, ඔහේ එයාලව මෝඩයෝ කලා.","You haven't given them anything, you have fooled them.","Nu le-am dat nimic, le-ai făcut idioţi."
ඔයා වගේ කෙනෙක් මෙහෙම කරනවා මං දැක්කමයි,I haven't ever seen a hero like you to avenge like this,Je vois quelqu'un comme toi faire ça .
"""Balthazar!"" ""Crayne"" මහත්මයා!",Balthazar! Mr. Crayne!,"""Balthazar!"" ""Crayne"" Bayan!"
- මේ මොනාද?,What's all this?,- Τι είναι αυτό;
"නෑ, ඔයා එහෙම නෑ.","No, you're not.","Hayır, sen öyle değilsin."
මම දැන් යන්න ඕන.,I gotta get going.,Trebuie să plec acum.
එයා මෙතන ලෙව කෑවා,He licked me right here.,Il a mangé ici.
ඒ වාහනේ නම තමයි...,The name of the car is ...,Numele vehiculului e...
රෝහල් දුරකථනයෙන් කතා කරනවා.,Telephone the hospital.,A kórházi telefonról beszélek.
"ඇත්තටම, ග්‍රේටල්, එයා එහේ යැවුවෙ... . ...එයා එයාගෙ තාත්ත ගැන...","I n actual fact, Gretel, he was sent there... because he failed to inform the authorities... of his father's lack of loyalty to the Party.","Właściwie, Gretał, wysłał go tam o swoim ojcu."
ටිකක් ඉන්න.,Wait for a while.,Várj egy kicsit.
pty मा माउन्ट प्रक्रिया चालु गर्न सकेन,Couldn't run mount process in a pty,माउंट प्रक्रिया चलाने में असमर्थ
- නෑ. මට වාතය දැනෙන්න ඕනා.,I need to feel the air.,"- Nu, vreau să simt aerul."
ඔයා කියන් නැත්නම් මම කියන් නම්,"If you don't, then I will.",Sen söylersen ya da ben söylersem
"यदि तपाईँले फिड र फाइलहरू मेट्न छनौट गर्नु भएमा, ति सदाका लागि हराउने छन्। कृपया याद राख्नुहोस् कि तपाईँले फिड मात्र मेट्नुहोस् छनौट गरेर डाउनलोड गरिएको फाइलहरू राख्दै फीडहरू मात्र मेट्न सक्नुहुन्छ।","If you choose to delete the feed and files, they will be permanently lost. Please note that you can delete the feed but keep the downloaded files by choosing to delete the feed only.","यदि आप फ़ीड और फ़ाइलों को हटाने का विकल्प चुनते हैं, तो आप हमेशा के लिए खो जाएंगे। कृपया याद रखें कि आप फ़ीड को केवल हटाने का विकल्प चुनकर डाउनलोड की गई फ़ाइलों को रखकर फ़ीड को केवल हट सकते हैं।"
මොනවහරි මතක් වෙනවද?,Ring any bells?,Emlékszel valamire?
"ඒ වගේම එක කලහම , අපිව තවදුරටත් ඕනා වෙන්නේ නැ","And when they do, they ain't gonna need us no more.","Y una vez más , ya no seremos necesarios ."
ඔයාලා මොකටද ඔලුව වනන්නේ?,What are you nodding for?,¿Por qué están moviendo la cabeza?
මොකද්ද අවුල ?,What happened?,ما المشكلة ؟
ඩීන් ඇන්තනී බේකර් මහත්තයා,Mister Dean Anthony Baker. So I suggest you leave the boy alone.,Ο κ. Ντιν Αντάνι Μπέικερ
මොකද හිනාවෙන්නේ?,What's so funny?,Co se směješ?
ඇන්ඩේ‍ර්ප් අන්තිමයා,Andropov was the last one.,(أندري ريب) الأخير
මොකද පුතේ..,"What is it, baby?",Γιατί γιε μου..
- සමාවෙන්න සර්. - කරුණාකරලා.,"- Sorry, sir.","- Συγνώμη, κύριε."
"මම දන්නා එකම දේ තමයි, ඔයා පැය 16 කරන, නිදාගන්න එක.",The only thing I've ever seen you do 16 hours a day straight is sleep.,Lo único que sé es que haces 16 horas durmiendo.
මගේ වාර්තාව හේතු වෙවි තමුන් තවදුරත් ආරක්ෂක සේවයේ තියෙනවද නැද්ද කියන එක .,My report will be a major factor in whether you remain in the force.,Raportul meu se bazează pe faptul că nu mai eşti în serviciul de securitate .
ඔයාගෙ පෙලිස් නිළධාරියට කියන්න අවුරුදු 30 විතර මනුස්සයෙක් හොයන්න කියල.,Tell your policeman to look for a guy around 30.,Dile a tu agente de policía que busque a un hombre de 30 años.
AWVR 777 නමින් හඳුන්වන එය.,"The train, AWVR 777,",AWVR 777 नाम से जाना जाता है।
रुखको बोक्रा,Tree Bark,रुखको बोकरा
ආත්ම වෘක්ෂය ලඟ ඒක බලසම්පන්නයි නේද?,"It's strongest at the Tree of Souls, right?","Ruh ağacının yanında güçlü bir şey var, değil mi?"
"ඉක්මනට ඒ කෙල්ලව පැහැරගෙන එන්න. අපි යමු. මොනවද ඔයාල කරන්නෙ ? එහෙම නං, මේ තමයි අද වෙන්දේසියේ ප්‍රධාන භාණ්ඩය.",Kidnap this girl immediately. [ Cheering ] [ Cheering Continues ],"¡Vamos a secuestrar a la chica, vamos! ¿Qué están haciendo?"
प्रणाली ट्रे प्रतिमा प्रदर्शन गर्नुहोस्,Display system tray icon,सिस्टम ट्रे छवि प्रदर्शित करें
- මම කැල්'ගේ තාත්තා.,I am Kal's father.,- Είμαι ο μπαμπάς του Καλ.
"එන්ජින් දෙකම අහිමි වීම, උස මට්ටම.","The dual engine loss, the altitude.","Pierderea ambelor motoare, nivel înalt."
एल्बम वस्तु माथि माउस हुँदा छवि सूचना प्रर्दशन गर्न यो विकल्प सेट गर्नुहोस् ।,Set this option to display album information when the mouse hovers over a folder-view item.,जब एल्बम वस्तु माउस पर होती है तो छवि सूचना प्रदर्शित करने के लिए यह विकल्प सेट करें।
- එකයි ?,- Well how low?,- Bir tane mi ?
මම දැන් තිරණය කරා එයාට love letter එකක් දෙන්න.,I've now decided to give her a love letter.,Am decis să-i dau o scrisoare de dragoste.
ला केइवा,La Chica,ला केइवा
"ඇති, ඇති, ස්ස්, නවත්වපන් දැන්.. සමාවෙයන් මට!",enough..enough.sshhh..quiet..quiet forgive me..!,"Стига, стига, госпожице, спрете сега."
අපි ළගයි මේ මිනිස්සුන්ව අල්ල ගන්න අපිට මොකක් හරි අමාරු දෙයක් වෙනකම් අපි උන් පස්සෙමයි,"We're hot on these guys' trail, and it's just a matter of time till we nail them.",Trebuie să-i prindem pe oamenii ăştia. Trebuie să-i urmărim până se întâmplă ceva greu.
මගේ ලේකම්වරිය ඔබලාව එතනට එක්කගෙන යයි.,My secretary will be happy to take you down there right now.,Η γραμματέας μου θα σας πάει εκεί.
හිනාවෙන්න. -මොනවාද ඔයා කරන්නේ?,- What're you doing?,- Co ty robisz?
කොයි එකද?,Which one is it?,Ποιο είναι αυτό;
මෙයාට ගෞරව කරලා කතා කරන්න.,Show some respect.,Ona saygı gösterin ve konuşun.
ඔයා එයත් එක්ක නිදා ගත්තද?,Did you fuck her?,Te-ai culcat cu el?
ඔය මහන කඩේට කියපන් උඹ වගේ උන්ට හරියන ඇඳුමක් මහල දෙන්න කියලා,"Yes, just do as mommy says. Find yourself a tailor and think that chicken costume's gonna suit you, you mug.",Spune-i magazinului ăsta să-i ofere o rochie care să fie la fel ca tine.
ඇය හොදින්.,It's OK. She's good.,Je v pořádku.
...ඔයාට විරුද්ධව උසාවියේදී පාවිච්චි කරන්න පුළුවන් ඒ වගේම කරනවා.,...can and will be used against you in a court of law.,...μπορεί να χρησιμοποιηθεί εναντίον του στο δικαστήριο και θα το κάνει.
මේ නම් සිරා මිනිහෙක්,"What it is, man! Dynomite.",Este es un hombre serio.
प्रतीक घोषणामा जानुहोस्,Go to symbol declaration,प्रतीक घोषणा पर जाएं
सत्र% 1 द्वारा ताल्चा लगाइएको थियो,The session was locked by %1,सत्र% 1 द्वारा ताला लगा दिया गया था
प्लगइन '%s' लोड गर्न सकेन %s,Could not load plugin '%s' %s,प्लगइन '%s' लोड नहीं कर सका %s
- ඒ එම්බ්‍රිද?,- That's Embry?,- E un embrion?
भूमिका ए को परिवर्तनशीलता,Role A Changeability,भूमिका ए की परिवर्तनशीलता
"මට කිරි ඕනේ නෑ, ගිහින් නිදා ගන්න මොකද?",I don't want any milk. Go back to bed. Easwari!,"Δεν θέλω γάλα, πήγαινε να κοιμηθείς."
उमेर अनुसार क्रमबद्ध गर्नुहोस् (_g),Sort by A_ge,आयु के अनुसार क्रमबद्ध करें (_g)
ඔයා එකඟතාව අත්සන් කරලනම් හිටියේ ඔයාට බැරිවෙනවා ඔහොම... .,If you would just sign the contract you wouldn't have...,"Dacă ai fi semnat acordul, nu ai fi putut..."
එයා දැනටම ගිහින්.,He's already gone.,El a plecat deja.
"සැලි,මගේ තාක්ෂනිකයා මේ බිම තුල ආරක්ෂාව ගැන අවධානය යොමු කරනවා.","Sally, my Tech is concerned about the security of the site.","Σάλι, ο τεχνικός μου επικεντρώνεται στην ασφάλεια στο έδαφος."
आदेश रेखामा कार्यान्वयन गर्न दुवै एउटा अभिव्यक्ति र फाइलहरूलाई निर्दिष्ट गर्न सक्दैन,Can't specify both an expression and files to execute on the command line,आदेश रेखा में कार्यान्वयन के लिए दोनों एक अभिव्यक्ति और फ़ाइलों को निर्दिष्ट नहीं कर सकता
තාමත් හරිම ආදරෙන්.,But they are still very much in love.,Все още съм много влюбен.
[फाइल स्थापक],[File Installer],[ملف إثبات]
ඉතින් මට ඒක අදාල නෑ,that's sort of the point.,Así que no me importa.
"මාකස්, ඔහු තමයි පළවෙනියා","Markus, he's the one","Marcus, el este primul."
फ्लपी ढाँचाकर्ताName,Floppy Formatter,फ्लपी ढाँचाकारName
"ඒ 80 මැද භාගයේදී පන ආපු ටටෙඩි බෙයාර් සම්බන්ධවයි බොස්ටන් හි, ඔහු නියත වශයෙන්ම පුද්ගලයෙක් බව ඔප්පු කිරීමට සුදානම් වෙමින් සිටි","Ted, the bear, who some of you may remember came to life back in the mid-'80s right here in Boston, is suing to prove he is indeed a person.","În mijlocul anilor '80, a revenit Teddy Bear în Boston, şi era pregătit să dovedească că e un om."
उल्टाउन चाप चयन गर्नुहोस्...,Select the arc to invert...,उल्टा चाप चुनें...
ඔහු මාව ඇඳට තියලා බැන්දා.,He chained me to the bed.,M-a lăsat în pat şi m-a legat.
ඔයා හොදින්ද? ආ?,You okay there?,Добре ли си?
- ඔයාගේ උපරිමේ කුණුගොඩක් තමයි.,- Your best is garbage.,- E o grămadă de chestii din partea ta maximă.
එයා දැන් තොරතුරු එව්වා.,She just sent us the uplink.,Tocmai mi-a trimis informaţii.
අපට තව එකකි අවැසි වන්නේ.,We've got three We need one,Necesitamos otra.
ඒවා මම වෙනස් කරන්න ඕනා මතකයන්.,They're memories that I have to change,Trebuie să schimb amintirile.
ඒත් මම හොඳින්. මම හොඳින්.,But I'm okay. I'm all right.,Но аз съм добре.
උඹලා මොනාද කියන්නේ බං?,What are you saying?,Τι λέτε;
टायल गरिएको छवि,Tiled Image,टाइल किया गया छवि
ඔයගොල්ලො කවුද?,Who the hell are you?,Cine sunteţi voi?
ඒත් පස්සේ දැනගන්න ලැබුනා එයා මැරිලා කියලා.,But then she turned up dead.,Ama sonra öldüğünü öğrendim.
"ඒයි කෙල්ලෙ, ඔයාගෙ අනතුරු සංඥාව තාරු්‍යයෙ සුන්දරත්වය..","Hey girl, you're a danger signal of beauty and youth...","Hei fată, semnalul tău de alarmă este frumuseţea copilăriei."
ඇය දැඩි කෙනෙක්.,She's tough.,Είναι σκληρή.
මම ඔයාගේ යාලුවෙක්නේ...,I'm your friend.,Είμαι φίλος σου...
අයියෝ උඹ දන්නවනෙ ඌ මැරිලා කියලා,"Oh, come on what know what you is dead. heya","Έλα, ξέρεις ότι είναι νεκρός."
"මං කවදාවත් ඔයාගෙන් ඇහුවේ නැත්තේ අපි එකට් වැඩ කරන නිසා, මං හිතන්නේ මට බයත් හිතුනා ඒත් මං බයෙන් හිටියා ඇති","I never asked you out because we work together, but I think part of me was scared and I'm done being scared.","Nunca te pregunté porque no trabajamos, creo que también me asusté, pero me asusté"
හොඳ ජෝඩුව.,"Oh, yeah, yeah, yeah.",İyi bir çift.
කට වහනවලා!,Shut up!,Taci din gură!
ඇයි ඔයාට ඔච්චර තරහ ගිහින්?,What are you so weirded out about?,De ce te-ai supărat atât de tare?
