src,tgt,lang,source,src_tokens,tgt_tokens,len_ratio
19 වෙනිදට ආඥාවක් ලියලා පෙත්සමක් දාන්නද ?,Shall I make a note of writ and petitions scheduled for the 19th?,si,opus_ne_si_en_train.csv,7,13,0.5384615384615384
- මැරෙන්න දාලා ආවා! මගේ අත් බැඳලා.,"There's nothing else that I can do for you, listen...",si,opus_ne_si_en_train.csv,7,10,0.7
උන් අපිව මරුවා.,theykilledus . A,si,opus_ne_si_en_train.csv,3,3,1.0
"ඉතින් එයා මේක දාලා ගිහින්, මේකට වයර් ඇදලා උගුලක් හදලා∙","So she abandoned this place, booby-trapped it, and moved on.",si,opus_ne_si_en_train.csv,10,10,1.0
- ඒක ඇත්ත.,"- Yeah, that's right.",si,opus_ne_si_en_train.csv,3,4,0.75
මොනාද ඔබ අමතකනොවෙන්න කාලා තියෙන්නේ?,What's the strangest thing you've eaten?,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
මේ ඔක්කම වැරදීමක්.,This is all a mistake.,si,opus_ne_si_en_train.csv,3,5,0.6
කපිතන් ඔබ දු‍ටු දෙය වාර්තා කරන්න.,"Captain, report what you saw.",si,opus_ne_si_en_train.csv,6,5,1.2
මට බිස්කට් ගෙනාවද?,Do you have my cookies for me?,si,opus_ne_si_en_train.csv,3,7,0.4285714285714285
මොන දෙන්නද අඩුවෙන්ම වැරදි ?,Which are the two least offensive?,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
දැන් ඒක මෙහෙට ඇවිල්ලා!,Now it's live striking from the coast!,si,opus_ne_si_en_train.csv,4,7,0.5714285714285714
මට බය ඔයා ඉන්න තත්වය ගැන නෙමේ,I'm worried about you.,si,opus_ne_si_en_train.csv,7,4,1.75
"එහෙනම් කාළයද , මගේ දමෙව්පියන් මට බය වෙන්න ඕන නෑ","Oh, so in time, my parents won't be scared of me.",si,opus_ne_si_en_train.csv,10,11,0.9090909090909092
१ शून्य (सबै भन्दा छिटो),1 zero (fastest),ne,opus_ne_si_en_train.csv,5,3,1.6666666666666667
तेस्रो पारी (मध्यरात पछि),Third Shift (after midnight),ne,opus_ne_si_en_train.csv,4,4,1.0
ඒ මිනිහා බරපතල වැරදි පහකට වගකිව යුතුයි?,"The man's a five-time felon, all right?",si,opus_ne_si_en_train.csv,7,7,1.0
इभोल्युसन आयात सहयोगी,Evolution Import Assistant,ne,opus_ne_si_en_train.csv,3,3,1.0
ඉක්මනට ජොශ්. ශික් !,Hurry Josh. Oh Shit!,si,opus_ne_si_en_train.csv,4,4,1.0
"අපිට ඉදිරියට යන්න බැරි උනොත්, Shaw.","Not if we can prevent, Shaw.",si,opus_ne_si_en_train.csv,6,6,1.0
සියලුම පලිහන් ක්‍රියාත්මකයි..,Shield pressure plates activated.,si,opus_ne_si_en_train.csv,3,4,0.75
कन्क्वेरर् पुस्तकचिनोहरू निर्यात ड्रुइड,Konqueror Bookmarks Export Druid,ne,opus_ne_si_en_train.csv,4,4,1.0
ඔව්. ඒත් ඔයාලා ඔක්කොම කොහොමද ඒක දන්නේ.,Yeah... how does everyone know?,si,opus_ne_si_en_train.csv,7,5,1.4
මේ සේරම පස්සේ ක්ලොක් ස්මිත් ඉන්නවා කියලා මම හොයාගත්තොත් මොකද?,What if I find the clocksmith behind all this?,si,opus_ne_si_en_train.csv,10,9,1.1111111111111112
මෙන්න ඔක්කෝම.,That's everything.,si,opus_ne_si_en_train.csv,2,2,1.0
रुपान्तरणहरू हटाउनुहोस्,Remove _Transformations,ne,opus_ne_si_en_train.csv,2,2,1.0
සිහින දකින්නා විතරයි දැන ගන්න ඕනා.,Only the dreamer should know the layout.,si,opus_ne_si_en_train.csv,6,7,0.8571428571428571
දෙවෙනි ලාච්චුවේ∙ සන් මාත් එක්ක ඉදියි,Second drawer. There are diapers in the drawer. Sun's gonna switch with you.,si,opus_ne_si_en_train.csv,6,13,0.4615384615384615
टेप आईडी पढ्दैछ...,Reading tape ID...,ne,opus_ne_si_en_train.csv,3,3,1.0
ट्याग हटाउनुहोस्,Go to this Tag,ne,opus_ne_si_en_train.csv,2,4,0.5
Shawත් එතන ඉන්නවා.,Shaw's been there.,si,opus_ne_si_en_train.csv,3,3,1.0
- මම මෙතන වයි කියල හිතුවෙ නෑ∙,"- Oh, I'm not supposed to be here.",si,opus_ne_si_en_train.csv,7,8,0.875
මම උන්ට පහරදෙන්නම් උන් ඒක කරන තුරුම.,I'll beat them until they do.,si,opus_ne_si_en_train.csv,7,6,1.1666666666666667
क्लिपबोर्डमा चयन प्रतिलिपि बनाउनुहोस्,Copy the email address to the clipboard,ne,opus_ne_si_en_train.csv,4,7,0.5714285714285714
/* एल जि पि एल */,/* LGPL */,ne,opus_ne_si_en_train.csv,6,3,2.0
- පියාඹනවා හිතන්න.,Think fly.,si,opus_ne_si_en_train.csv,3,2,1.5
ආරක්ෂාවක් නැත සතෙක් මරන්න..,"If I'm gonna kill a defenseless animal,",si,opus_ne_si_en_train.csv,4,7,0.5714285714285714
चौडाइमा कति गुणकलाई निषेध गर्ने ।,What multiple to constrain the width to.,ne,opus_ne_si_en_train.csv,6,7,0.8571428571428571
% 1 Netscape ප්ලගිනය,Netscape plugin %1,si,opus_ne_si_en_train.csv,4,3,1.3333333333333333
ඔයා පොඩි එකෙක් නෙවෙයිනෙ.,"Don't believe in such stuff, Roshni.",si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
අතන මොකද වෙලා තියෙන්නෙ?,What happened over there?,si,opus_ne_si_en_train.csv,4,4,1.0
"""කර්නල් මට සමාවෙන්න නමුත් අපිට බැහැ "" ඔබට ඉවත් කර ගැනීමේ පහසුකම සලසන්න... .","Colonel, I'm sorry, but we cannot facilitate an evacuation for you or your men.",si,opus_ne_si_en_train.csv,14,14,1.0
दक्षिण-पूर्व सार्नका लागि प्रयोग हुने कुञ्जीको नाम । नाम मानक X कुञ्जीको नाम हो ।,The name of the key used to move south-east. The name is a standard X key name.,ne,opus_ne_si_en_train.csv,15,17,0.8823529411764706
වැඩට යන්න වෙලාව හරි!,Time to go to work.,si,opus_ne_si_en_train.csv,4,5,0.8
ඉතින් ඒක උත්සාහ කරලා බලමු.,Try one in one.,si,opus_ne_si_en_train.csv,5,4,1.25
यसका लागि नयाँ पासफ्रेज प्रविष्ट गर्नुहोस्: %s,Enter the new passphrase again: %s,ne,opus_ne_si_en_train.csv,7,6,1.1666666666666667
මම ඔයා එක්ක එකඟතාවයකට යන්නයි හදන්නේ.,I'm gonna make you a deal.,si,opus_ne_si_en_train.csv,6,6,1.0
"මම ඉටි, එයා පොලිතීන්.","I'm wax, she's polyurethane.",si,opus_ne_si_en_train.csv,4,4,1.0
"රමීස් බායි, යමු.","Rameez, go.",si,opus_ne_si_en_train.csv,3,2,1.5
එයා ඔය තිත් යා කරන එක කරන්නේ.,He connected the dots.,si,opus_ne_si_en_train.csv,7,4,1.75
GIF छवि,NEF image,ne,opus_ne_si_en_train.csv,2,2,1.0
ग्रेडियन्ट फ्लेयर,Gradient Flare,ne,opus_ne_si_en_train.csv,2,2,1.0
සීමාව තුල මකුළු ටැංකි තියෙනවද?,Is the spider tank within range?,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
हालै खोलिएको डाइरेक्टरीमा एउटा टर्मिनल खोल्नुहोस्,Open a terminal at the currently opened directory,ne,opus_ne_si_en_train.csv,6,8,0.75
"එකෙන් තමයි ඔයාගෙ පවුල හැදුවෙ,",That makes you family too.,si,opus_ne_si_en_train.csv,5,5,1.0
- මං ඒක හොරකම්කලා.,- I stole it.,si,opus_ne_si_en_train.csv,4,4,1.0
टेम्प्लेट नक्कल गर्नुहोस्...templates-action,D_uplicate Template...,ne,opus_ne_si_en_train.csv,3,2,1.5
මම හැමවෙලාවෙම දන්නවා ඔයා කවුද කියල.,I always know who you are.,si,opus_ne_si_en_train.csv,6,6,1.0
"බලන්නකෝ, මිස්ටර් එකෝ දිහා, කිසි සැකයක් නැහැ.",Look at Mr Eko. No hesitation.,si,opus_ne_si_en_train.csv,7,6,1.1666666666666667
බල්ලෙක් වෙන්නත් බෑ.,A dog couldn't do that.,si,opus_ne_si_en_train.csv,3,5,0.6
එදා මගෙන් අහපු ඔහු අද මගේ පන්තියටත් ඇවිත්. රාජු. අර නිල්පාට කමිසයක් ඇඳන් ඉන්න කෙනා?,the other day he has proposed me andtoday he has directly come to the class raju... that blue shirt guy?,si,opus_ne_si_en_test.csv,15,20,0.75
खोजी प्रदायक परिमार्जन गर्नुहोस् ।,Modify a search provider.,ne,opus_ne_si_en_train.csv,5,4,1.25
जब अनुप्रयोगले सीधै औजारमा रङ्ग लगाउला,Whether the application will paint directly on the widget,ne,opus_ne_si_en_train.csv,6,9,0.6666666666666666
"ඇයි.. බලනවා, මම අඩුගාණෙ ඔය ""මෙය"" කියන්නෙ මොකද්ද කියලවත් දන්නෑ.","I don't even know what ""this"" is.",si,opus_ne_si_en_train.csv,10,7,1.4285714285714286
ඔබට ස්තූතියි මේ මොනවද?,Thank you. What's all this?,si,opus_ne_si_en_train.csv,4,5,0.8
ඒක වෙන්නෙ කොහොමද?,How is this possible?,si,opus_ne_si_en_train.csv,3,4,0.75
"ඔව්, මටත් ඒ දේම තමයි.","Oh, right. Yeah. Dave's done the same to me.",si,opus_ne_si_en_train.csv,5,9,0.5555555555555556
"-නෑ, ඔයාගෙ වේගෙ අඩුයි.","- No, you're very slow.",si,opus_ne_si_en_train.csv,4,5,0.8
"ස(ර්), සෙනග ගොඩක් මැද මෙයා එක්කෙනෙක් විතරයි.","Sir, he is one among the crowd.",si,opus_ne_si_en_train.csv,7,7,1.0
සෑහෙන කාලෙක ඉඳන් එහෙමයි.,Hasn't been for a long time.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
සංඥා යවන්නේ නැතිකොට මාව අරගෙන යන්න කවුරුත් එන්නෙත් නෑනේ.,"If I don't signal, nobody'll come take me back.",si,opus_ne_si_en_train.csv,9,9,1.0
ඔවුන් ඇයගේ ජීවිතය විනාශ කරලා. එතකොට උන් මෙහෙ පෝසත්තු වගේ ඉන්නවා හොඳට.,Can you believe they would ruin her life so that they could live here like rich bastards?,si,opus_ne_si_en_train.csv,12,17,0.7058823529411765
ඔයාගේ ආදර්ශමත් ජිවිත බේරා ගැනීමේ උත්සාහයට ස්තුතිය.,Thanks to your impeccable survival instincts.,si,opus_ne_si_en_train.csv,7,6,1.1666666666666667
पछाडि इतिहास,Search history,ne,opus_ne_si_en_train.csv,2,2,1.0
අම්මා කියන ගැණු ළමයාව තමයි කසාද බදින්නේ.,I prefer to marry a girl my mother selects And love her till death do us part!,si,opus_ne_si_en_train.csv,7,17,0.4117647058823529
...කොට්ඨාස පහක අඳුරේ අධිපති...,Demon Enforcer of the Five Boroughs..,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
"පේන හැටියට පවුලක විස්තරයක් වගෝ,එහෙම නේද?","Sounds like a description of family, doesn't it?",si,opus_ne_si_en_train.csv,6,8,0.75
21 දෙනෙක්ගේ ශරීර දැනටමත් හමුවෙලා තියෙනවා! මේ මුහුදු බද සිමාවන් වලදී,Bodies of 21 of his victims were recovered when they washed up on the coastline.,si,opus_ne_si_en_train.csv,11,15,0.7333333333333333
කරුණාකර නිවසෙන් පිටවෙන්න ඊටපසු හැකිතාක් ඈතට වෙන්න.,Please evacuate your home and get as far away from the fire as possible.,si,opus_ne_si_en_train.csv,7,14,0.5
මට සමාෙවන්න ?,Excuse me?,si,opus_ne_si_en_train.csv,3,2,1.5
- පස්සෙ එන්න∙,- Come back.,si,opus_ne_si_en_train.csv,3,3,1.0
- මට මොකක්ද වෙන්නේ?,- What's happening to me?,si,opus_ne_si_en_train.csv,4,5,0.8
ස්කැවෙන්ජර් දඩයම!,Scavenger hunt!,si,opus_ne_si_en_train.csv,2,2,1.0
ඩැනියල් මම හිතුවෙ ඔයා උපාධිය ගත්ත එක,"Daniel,I thought we could celebrate your accomplishment with lunch.",si,opus_ne_si_en_train.csv,7,9,0.7777777777777778
"ඒක තමයි මේ සමුළුවෙ වැදගත්ම කාරණාව, නේද?","That's the whole point of this summit, isn't it?",si,opus_ne_si_en_train.csv,7,9,0.7777777777777778
"- මම දන්නවා, මම දන්නවා.","- I know, I know.",si,opus_ne_si_en_train.csv,5,5,1.0
% 1 මොඩියුලය හමු නොවිණි,Module %1 not found,si,opus_ne_si_en_train.csv,5,4,1.25
आफै-जाँच परीक्षणहरूको द्रुत सेट कार्यसम्पादन गर्नुहोस् ।,Perform a quick set of self-check tests.,ne,opus_ne_si_en_train.csv,7,7,1.0
මම ඔයා වෙනුවෙන් සටන් කරනවා.,I will fight beside you.,si,opus_ne_si_en_train.csv,5,5,1.0
වැසිකිළිය අතනින් දකුණු පැත්තේ තියෙන්නේ,The washroom is to the right over there.,si,opus_ne_si_en_train.csv,5,8,0.625
රාජාලියා දඩයම් කරන්නෙ දෘෂ්ඨියෙන් හිම වැටීම ඔවුන්ගෙ කාර්යයට බාධාවක්.,Eagles hunt by sight ... and the thickening veil of snow forces them to give up.,si,opus_ne_si_en_train.csv,9,16,0.5625
चयन मात्र निर्यात गर्नुहोस्,Export selection only,ne,opus_ne_si_en_train.csv,4,3,1.3333333333333333
එක්කො සැබ්මැරීන් එකෝ නැගලා කවුරුවත් දැනගන්න කලින් මේකනේචුත වෙලා යන්න ඕනෙ∙∙∙ නැත්නම් ආපහු කැලෝට යන්න ඕනෙ,"We can either commandeer the sub,get the hell off this island before anyone knows we're gone, or we can head back in the jungle,start from square one.",si,opus_ne_si_en_train.csv,16,27,0.5925925925925926
पारवहन भएको बेला गुप्तिकरण बिना इन्टरनेटमा पठाएको सूचना अन्य मानिसले पनि देख्न सक्नेछन् ।,Information sent over the Internet without encryption can be seen by other people while it is in transit.,ne,opus_ne_si_en_train.csv,14,18,0.7777777777777778
"ඔහ්, හරි.","Oh, okay. Right.",si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
රතු පොත. මම මේව ගත්තෙ නැහැ.,Red book. I didn't take these.,si,opus_ne_si_en_train.csv,6,6,1.0
ඔවුන් ඩුරාන්ට්ගෙ තැනට ඉක්මනින්ම යන්න ඕනා.,They need to get to Durant's crash site fast.,si,opus_ne_si_en_train.csv,6,9,0.6666666666666666
"සෝන්යා, මේ මම.","Sonya, it's me.",si,opus_ne_si_en_train.csv,3,3,1.0
ඔබ හිතන්නෙ ඔබ ඉන්න තත්වය නිසා මිනිසුන්ට බලකරන්න අයිතියක් තියෙනවා කියලද?,You think because of your condition you can push people around?,si,opus_ne_si_en_train.csv,11,11,1.0
ඔයාට සමීකරණයක් එක්ක එන්න බැහැ... ඔයා ලෝකය අත් දකින විදිහ වෙනස් කරන්න.,"You can't come up with a formula to change the way you experience the world,",si,opus_ne_si_en_train.csv,12,15,0.8
कागजात मुद्रण गर्दा gedit ले कागजात हेडर समाविष्ट गर्नु पर्दछ या पर्दैन ।,Whether gedit should include a document header when printing documents.,ne,opus_ne_si_en_train.csv,13,10,1.3
"- ජෑන්, පිලිගන්නවා!","- Jan, welcome!",si,opus_ne_si_en_train.csv,3,3,1.0
ඇයි නිකූ එහෙම කළේ.. ?,Why did Nikku do this?,si,opus_ne_si_en_train.csv,5,5,1.0
මේ අංක 2.,This is Pad 2.,si,opus_ne_si_en_train.csv,3,4,0.75
"ඔව්, ඒත් දේවල් සුන්දර නොවේ, නෝමන්.","Yes, but things aren't lovely, Norman.",si,opus_ne_si_en_train.csv,6,6,1.0
"""ඔපරේෂන් විච්ක්‍රාෆ්ට"" (මායාකාරිත්වය පිළිබඳ මෙහෙයුම) රහසක් විදිහයට තිබීම අවශ්‍යයි.",Operation Witchcraft needs to remain secret.,si,opus_ne_si_en_train.csv,9,6,1.5
अमेरिकी गैह- व्यवसायी चल तारा अन्वेषकद्वारा उत्पादन गरिएको प्रकाश बक्ररेखा,Light Curve produced by the American Amateur Variable Star Observers,ne,opus_ne_si_en_train.csv,10,10,1.0
එයාව සමතලා වෙලා.,He's a flapjack.,si,opus_ne_si_en_train.csv,3,3,1.0
මේක නම් පිළිගන්න බැරි තැනට පත් වේගෙනයි එන්නෙ.,This is becoming unacceptable.,si,opus_ne_si_en_train.csv,8,4,2.0
"ඔයාගෝ ප්‍රාර්ථනාව ඉටුකරගන්න ඕන වුනා, කොහොමද කියන එකෙන් වැඩක් නෑ","HAD TO GET YOUR WISH, DOESN'T MATTER HOW... ANYWAY",si,opus_ne_si_en_train.csv,10,9,1.1111111111111112
- එයා ඇවිත් .,She has come.,si,opus_ne_si_en_train.csv,4,3,1.3333333333333333
මට නිද්ද ගියේ වත් නෑ මොකද මට ඔන හැමොගමෙ ආරක්ෂාව∙,I haven't been sleeping 'cause I want everyone to feel safe.,si,opus_ne_si_en_train.csv,10,11,0.9090909090909092
- මට එන්න ඕනේ!,- I wanna come with!,si,opus_ne_si_en_train.csv,4,5,0.8
"- පම්ප්කින්, අර්තාපල් අල - පොටේටො","- What's for ""Urulakizhangu""",si,opus_ne_si_en_train.csv,6,4,1.5
එයාලව වැල්ලේ දාලා එනවා. එයාලා බිත්තර පලාගෙන... ..,"We leave 'em on a beach to hatch... and then, coo-coo-cachoo... they find their way back to the big ol' blue.",si,opus_ne_si_en_train.csv,8,21,0.3809523809523809
ඒකනම් අවාසනාවන්ත දෙයක්.,That's unfortunate.,si,opus_ne_si_en_train.csv,3,2,1.5
थ्रड-सेफ पुस्तकालयहरू थालनी गर्न सकेन ।,Could not initialize the thread-safe libraries.,ne,opus_ne_si_en_train.csv,6,6,1.0
"ඒ නිසා, අනිවාර්යෙන්ම උත්සහ කරන්න වටිනව.","So, it's definitely worth a shot.",si,opus_ne_si_en_train.csv,6,6,1.0
හමුවීම සතුටක් පණපිටින් එලියට ඇවිත්.,Glad to see you made it out alive.,si,opus_ne_si_en_train.csv,5,8,0.625
උත්තර දෙන්න.,Please reply.,si,opus_ne_si_en_train.csv,2,2,1.0
මම සාමාන්යයෙන් ඒ තරම් බොන්නේ නෑ.,I don't normally drink that much.,si,opus_ne_si_en_train.csv,6,6,1.0
මේක පොදු තැනක් නෙවෙයි.,This is reservation property,si,opus_ne_si_en_test.csv,4,4,1.0
එක වෙනස් වේවි.,"Well, that'll change.",si,opus_ne_si_en_train.csv,3,3,1.0
डाइरेक्टरीहरू उपेक्षा गर्नुहोस्,Ignore directories,ne,opus_ne_si_en_train.csv,3,2,1.5
- තමුන් දන්නවනෙ මෙතන වෙන්නෙ මොකද කියල,- You know what's going on out here.,si,opus_ne_si_en_train.csv,7,8,0.875
"මුලින්ම, එයාගේ විඩියෝස් එයාගේ පරිගණකයේ තිබිච්ච...","Firstly, the incriminating videos he keeps on his computer.",si,opus_ne_si_en_train.csv,6,9,0.6666666666666666
"यसलाई हटाउन वस्तुहरूको तालिकामा उपकरणपट्टीहरूबाट, यसलाई थप्न तलको उपकरणपट्टीमा एउटा वस्तु तान्नुहोस् ।","Drag an item onto the toolbars above to add it, from the toolbars in the items table to remove it.",ne,opus_ne_si_en_train.csv,13,20,0.65
- උඹට බැරිද?,- You can't?,si,opus_ne_si_en_train.csv,3,3,1.0
सान्स नियमित १२,Sans Regular 12,ne,opus_ne_si_en_train.csv,3,3,1.0
මොකද්ද ප්‍රශ්නේ ?,-Why? What's wrong?,si,opus_ne_si_en_train.csv,3,3,1.0
අහෝ! අලේලූයියා! අලේලූයියා!,"Oh, hallelujah, Hallelujah!",si,opus_ne_si_en_train.csv,3,3,1.0
ඔයා හොදින් නේද?,You're ok darling?,si,opus_ne_si_en_train.csv,3,3,1.0
"හුඟක් ස්තූතියි, ජැක්.","Thanks a lot, Jack.",si,opus_ne_si_en_train.csv,3,4,0.75
ඇයට අදුම් දෙන්න.,Get her dressed.,si,opus_ne_si_en_train.csv,3,3,1.0
දැන් ලඟයි ඉවරවෙන්න.,It's nearly finished.,si,opus_ne_si_en_train.csv,3,3,1.0
කෙන් ඇන්ඩසන්.,Ken anderson.,si,opus_ne_si_en_train.csv,2,2,1.0
"ඇයගෙ මනස විකෘති වෙලා, ඔයාමයි මට එහෙම කිව්වෙ.","She's out of her mind, you told me so yourself.",si,opus_ne_si_en_train.csv,8,10,0.8
"මම දැනටමත් සමාව ගත්තා, එයාට අවුලක් නැතිවෙයි.",I already apologized to him. We're fine.,si,opus_ne_si_en_train.csv,7,7,1.0
ඌ වාහනේකට හැප්පිලා මලා.,It got hit by a car.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
-මොන ජාතියෙ ආචාර්යයෙක්ද මේක?,What kind of doctor are you? Are you okay?,si,opus_ne_si_en_train.csv,4,9,0.4444444444444444
"ඔව්, ගැලැහැඩ්ට පින් සිද්ද වෙන්න අපි ලඟ වැලන්ටයින්ගේ පාපොච්චාරණයක් තියෙනවා","Indeed, and thanks to Galahad's recordings... we have Valentine's confession.",si,opus_ne_si_en_train.csv,10,10,1.0
"- ඔව්, කියන්න බැරි තරමට.","- Yeah, not to mention big.",si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
මං එනවා. මං ඔයාගෙ නරක හීන ගැන හිත හිතා හිටියේ.,I'm coming. Akanksha. - Maya.,si,opus_ne_si_en_train.csv,10,5,2.0
ඒ අට වසරේදී∙,It was eighth grade.,si,opus_ne_si_en_train.csv,3,4,0.75
මම ඔහුව නවත්වන්න උත්සාහ කරා. ඒක අන්තිමට අපරාධයක් උනා,"You know I tried to stop him of course, a travesty committing such a horrible crime",si,opus_ne_si_en_train.csv,9,16,0.5625
म्याद समाप्त भएका संसूचक राखिने दिन,Days to keep expired alarms,ne,opus_ne_si_en_train.csv,6,5,1.2
